Owner ID,Vehicle Model,Vehicle Brand,Plate Number,Serial Number,VIN Number,Residency Time,Timestamp
john_doe92,Accord,Honda,ABC1234,HND1234567890,1HGCM82633A123456,2,10/9/2024 2:09
sarah_lee88,Model 3,Tesla,TES4567,TSL1234567890,TSL1234567890,3,2024-10-09 02:13:10
mike_smith77,F-150,Ford,FDR5678 ,FDR1234567890,1FTEW1E46KFA12345,4,2024-10-09 02:14:11
emily_jones99,Civic,Honda,HND7890,HND9876543210,19XFC2F5XFE123456,2,2024-10-09 02:14:48
rober_brown84,Wrangler,Jeep,JEP3210,JEP1234567890,1C4BJWEG8FL123456,1,2024-10-09 02:15:33
123456,Accord,Honda,aofiweinfwfnidoq,103u402r1r,dniwedwenrni,1,2024-10-09 15:48:22
55555,idiwdwfwnd,ifewfewnfwidn,ifngifnwifw,iewnfiwefnwf,isnfiefnw,4,2024-10-09 15:49:08
1234,Toyota 23233 (Plate: GYC2323, Serial: 23232424, VIN: 123232),2
21,313 12131 (Plate: 12121, Serial: 2121, VIN: 1212121),12
34,3434 434 (Plate: 343434, Serial: 4343, VIN: 4343),3
2323,2323 232323 (Plate: 2323, Serial: 3232, VIN: 2323),3
323,323,2323,323,2323,323,32323,2024-11-19 21:46:04
wewe,ewew ewew (Plate: 2e2e2, Serial: 2e2e, VIN: 2323),3
2323,2323 2323 (Plate: 2323, Serial: 2323, VIN: 323),2323
323,323 2323 (Plate: 2323, Serial: 323, VIN: 2323),2
232323,323 323 (Plate: 323, Serial: 2323, VIN: 2323),2
23,32 323 (Plate: 323, Serial: 32, VIN: 323),323
2323,323 323 (Plate: 323, Serial: 323, VIN: 323),323
32323,2323 323 (Plate: 23233, Serial: 323, VIN: 3232),323
323,2323 2323 (Plate: 2323, Serial: 2323, VIN: 323),2323
323,2323 2323 (Plate: 2323, Serial: 2323, VIN: 323),323
323,323 323 (Plate: 323, Serial: 32, VIN: 323),323
